ip_size,time,found
10000,3.5e-07,0
20000,3.49e-07,0
30000,4.59e-07,0
40000,3.49e-07,0
50000,3.09e-07,0
60000,3.29e-07,0
70000,3.39e-07,0
80000,1.596e-06,0
90000,2.8e-07,0
100000,3.59e-07,0
110000,3.73e-07,0
120000,5.14e-07,0
130000,3.53e-07,0
140000,4.64e-07,0
150000,3.53e-07,0
160000,3.53e-07,0
170000,4.13e-07,0
180000,4.03e-07,0
190000,3.83e-07,0
200000,3.02e-07,0
210000,4.33e-07,0
220000,4.13e-07,0
230000,3.93e-07,0
240000,4.83e-07,0
250000,4.53e-07,0
260000,4.63e-07,0
270000,4.03e-07,0
280000,6.54e-07,0
290000,4.03e-07,0
300000,4.33e-07,0
310000,3.93e-07,0
320000,4.13e-07,0
330000,3.83e-07,0
340000,4.43e-07,0
350000,3.33e-07,0
360000,4.02e-07,0
370000,4.03e-07,0
380000,4.13e-07,0
390000,4.63e-07,0
400000,6.54e-07,0
410000,5.34e-07,0
420000,3.93e-07,0
430000,4.23e-07,0
440000,4.03e-07,0
450000,3.62e-07,0
460000,3.93e-07,0
470000,4.73e-07,0
480000,3.73e-07,0
490000,4.83e-07,0
500000,3.88e-07,0
510000,4.29e-07,0
520000,3.88e-07,0
530000,5.1e-07,0
540000,4.7e-07,0
550000,4.9e-07,0
560000,8.27e-07,0
570000,5.91e-07,0
580000,5.19e-07,0
590000,5.61e-07,1
600000,8.45e-07,0
610000,4.99e-07,0
620000,9.77e-07,0
630000,1.32e-06,0
640000,7.31e-07,0
650000,7.62e-07,0
660000,4.27e-07,0
670000,8.94e-07,1
680000,4.47e-07,0
690000,4.26e-07,0
700000,4.66e-07,0
710000,3.55e-07,0
720000,3.96e-07,0
730000,4.36e-07,0
740000,4.95e-07,0
750000,1.669e-06,0
760000,4.05e-07,0
770000,4.35e-07,0
780000,4.55e-07,0
790000,4.34e-07,0
800000,1.646e-06,0
810000,4.84e-07,0
820000,4.74e-07,0
830000,1.311e-06,0
840000,5.14e-07,0
850000,1.896e-06,0
860000,4.84e-07,1
870000,7.56e-07,0
880000,5.03e-07,0
890000,6.15e-07,0
900000,7.15e-07,0
910000,7.15e-07,0
920000,5.54e-07,0
930000,6.84e-07,0
940000,4.53e-07,0
950000,1.781e-06,0
960000,5.02e-07,0
970000,5.23e-07,0
980000,7.13e-07,0
990000,6.52e-07,0
1000000,1.185e-06,0
1010000,7.63e-07,0
1020000,5.42e-07,0
1030000,5.92e-07,0
1040000,4.32e-07,0
1050000,6.11e-07,0
1060000,7.32e-07,0
1070000,4.71e-07,0
1080000,5.01e-07,0
1090000,4.21e-07,0
1100000,7.93e-07,0
1110000,4.26e-07,0
1120000,4.66e-07,0
1130000,1.0987e-05,1
1140000,5.85e-07,0
1150000,8.13e-07,0
1160000,3.208e-06,0
1170000,5.64e-07,1
1180000,1.871e-06,1
1190000,1.989e-06,0
1200000,1.089e-06,0
1210000,4.55e-07,0
1220000,2.147e-06,0
1230000,1.569e-06,0
1240000,1.11e-06,0
1250000,1.599e-06,0
1260000,1.459e-06,0
1270000,1.139e-06,0
1280000,2.138e-06,0
1290000,1.319e-06,0
1300000,1.199e-06,0
1310000,1.428e-06,0
1320000,1.509e-06,0
1330000,1.617e-06,0
1340000,6.89e-07,0
1350000,1.028e-06,0
1360000,4.29e-07,0
1370000,7.38e-07,0
1380000,1.736e-06,0
1390000,1.617e-06,0
1400000,2.614e-06,0
1410000,2.414e-06,0
