ip_size,time,found
10000,1.6502e-05,0
20000,3.3085e-05,0
30000,4.9921e-05,0
40000,6.7431e-05,0
50000,8.4052e-05,0
60000,0.000100585,0
70000,0.000115922,0
80000,0.000134804,0
90000,0.000151876,0
100000,0.000173501,0
110000,0.00018542,0
120000,0.000213892,0
130000,0.000231002,0
140000,0.000238749,0
150000,0.000254155,0
160000,0.000272656,0
170000,0.000298894,0
180000,0.000303321,0
190000,0.000313467,0
200000,0.000355337,0
210000,0.00035375,0
220000,0.000367354,0
230000,0.000383044,0
240000,0.000405991,0
250000,0.000421025,0
260000,0.000455598,0
270000,0.000456215,0
280000,0.00047958,0
290000,0.000488217,0
300000,0.000487992,0
310000,0.000540528,0
320000,0.000549293,0
330000,0.000567801,0
340000,0.000572168,0
350000,0.000588855,0
360000,0.000604161,0
370000,0.000608342,0
380000,0.000632324,0
390000,0.000680652,0
400000,0.000673504,0
410000,0.000696239,0
420000,0.000719042,0
430000,0.000727228,0
440000,0.000746977,0
450000,0.000775175,0
460000,0.00077071,0
470000,0.000801005,0
480000,0.000810003,0
490000,0.000852593,0
500000,0.000866428,0
510000,0.000891567,0
520000,0.000913473,0
530000,0.000922469,0
540000,0.000933703,0
550000,0.000947543,0
560000,0.000979014,0
570000,0.00100511,0
580000,0.000984464,0
590000,0.000885596,1
600000,0.00105751,0
610000,0.00104417,0
620000,0.0010879,0
630000,0.00109288,0
640000,0.0010652,0
650000,0.00113514,0
660000,0.00114142,0
670000,6.243e-06,1
680000,0.00116913,0
690000,0.00116704,0
700000,0.00117397,0
710000,0.00120142,0
720000,0.00119498,0
730000,0.00120521,0
740000,0.00122826,0
750000,0.00127336,0
760000,0.00125841,0
770000,0.00124251,0
780000,0.00128885,0
790000,0.00130114,0
800000,0.0013253,0
810000,0.00132332,0
820000,0.00136523,0
830000,0.00136468,0
840000,0.0014079,0
850000,0.00140509,0
860000,0.00117032,1
870000,0.00149407,0
880000,0.00151787,0
890000,0.00150312,0
900000,0.00155509,0
910000,0.00150644,0
920000,0.00158298,0
930000,0.00157655,0
940000,0.0015418,0
950000,0.00157127,0
960000,0.00158941,0
970000,0.00162257,0
980000,0.00166035,0
990000,0.00167775,0
1000000,0.00167975,0
1010000,0.00163335,0
1020000,0.00172379,0
1030000,0.00180211,0
1040000,0.00176659,0
1050000,0.00180675,0
1060000,0.00189044,0
1070000,0.00182852,0
1080000,0.00188648,0
1090000,0.00181724,0
1100000,0.00188395,0
1110000,0.00184522,0
1120000,0.00191779,0
