ip_size,time,found
10000,0.000559004,0
20000,0.000534207,0
30000,0.000518337,0
40000,0.000472941,0
50000,0.00057786,0
60000,0.000586842,0
70000,0.00077722,0
80000,0.000613067,0
90000,0.000849968,0
100000,0.00210385,0
110000,0.000712156,0
120000,0.000666148,0
130000,0.000611755,0
140000,0.000730801,0
150000,0.000790575,0
160000,0.000828607,0
170000,0.000910393,0
180000,0.000790334,0
190000,0.00115598,0
200000,0.000909181,0
210000,0.00084582,0
220000,0.00118173,0
230000,0.00114055,0
240000,0.00118089,0
250000,0.00149921,0
260000,0.00113587,0
270000,0.00164097,0
280000,0.00132632,0
290000,0.00125876,0
300000,0.00140926,0
310000,0.00111532,0
320000,0.00128773,0
330000,0.00113282,0
340000,0.00102183,0
350000,0.00145545,0
360000,0.00157398,0
370000,0.00145269,0
380000,0.00152835,0
390000,0.00133136,0
400000,0.00138477,0
410000,0.00193917,0
420000,0.00166839,0
430000,0.00150805,0
440000,0.00151983,0
450000,0.00209713,0
460000,0.00162188,0
470000,0.00128121,0
480000,0.00133374,0
490000,0.00189253,0
500000,0.00180616,0
510000,0.00177225,0
520000,0.00202178,0
530000,0.00162206,0
540000,0.00177158,0
550000,0.0014946,0
560000,0.00168122,0
570000,0.00193744,0
580000,0.00153596,0
590000,0.00216638,1
600000,0.00206095,0
610000,0.00150411,0
620000,0.00185765,0
630000,0.0020195,0
640000,0.00196382,0
650000,0.00212365,0
660000,0.00195544,0
670000,0.00191085,1
680000,0.00164215,0
690000,0.00226387,0
700000,0.00199514,0
710000,0.00230245,0
720000,0.00260924,0
730000,0.0025435,0
740000,0.0015737,0
750000,0.00196395,0
760000,0.00211827,0
770000,0.00236291,0
780000,0.00209308,0
790000,0.00292262,0
800000,0.00206437,0
810000,0.00171907,0
820000,0.00243673,0
830000,0.00242441,0
840000,0.00210021,0
850000,0.00222834,0
860000,0.00234625,1
870000,0.00241212,0
880000,0.00188061,0
890000,0.00251534,0
900000,0.00232078,0
910000,0.00224984,0
920000,0.00250419,0
930000,0.00203366,0
940000,0.0022023,0
950000,0.00190923,0
960000,0.0021354,0
970000,0.00240775,0
980000,0.0021872,0
990000,0.00192718,0
1000000,0.00255474,0
1010000,0.00228586,0
1020000,0.00260844,0
1030000,0.00194258,0
1040000,0.00236242,0
1050000,0.00293919,0
1060000,0.00207173,0
1070000,0.00252628,0
1080000,0.00230879,0
1090000,0.00236497,0
1100000,0.00265535,0
1110000,0.00220156,0
1120000,0.00245108,0
1130000,0.00298159,1
1140000,0.00394588,0
1150000,0.00258772,0
1160000,0.00299193,0
1170000,0.00236742,1
1180000,0.00258007,1
1190000,0.00270876,0
1200000,0.00288666,0
1210000,0.00270784,0
1220000,0.00247579,0
1230000,0.00310619,0
1240000,0.00273681,0
1250000,0.00256566,0
